"","X","geo_merge","time","epi_week","total_tests","new_pos_t","pct_cum_doses","population","cum_pos_tests"
"1",1,"City of Agoura Hills",11,"2020-03-08","1-11","0",NA,20883,"0"
"2",2,"City of Agoura Hills",12,"2020-03-15","28","1-11",NA,20883,"1-11"
"3",3,"City of Agoura Hills",13,"2020-03-22","34","1-11",NA,20883,"14"
"4",4,"City of Agoura Hills",14,"2020-03-29","42","1-11",NA,20883,"21"
"5",5,"City of Agoura Hills",15,"2020-04-05","39","1-11",NA,20883,"25"
"6",6,"City of Agoura Hills",16,"2020-04-12","60","1-11",NA,20883,"27"
"7",7,"City of Agoura Hills",17,"2020-04-19","60","1-11",NA,20883,"29"
"8",8,"City of Agoura Hills",18,"2020-04-26","141","0",NA,20883,"29"
"9",9,"City of Agoura Hills",19,"2020-05-03","184","1-11",NA,20883,"31"
"10",10,"City of Agoura Hills",20,"2020-05-10","183","0",NA,20883,"31"
"11",11,"City of Agoura Hills",21,"2020-05-17","182","1-11",NA,20883,"33"
"12",12,"City of Agoura Hills",22,"2020-05-24","165","0",NA,20883,"33"
"13",13,"City of Agoura Hills",23,"2020-05-31","173","1-11",NA,20883,"36"
"14",14,"City of Agoura Hills",24,"2020-06-07","328","1-11",NA,20883,"45"
"15",15,"City of Agoura Hills",25,"2020-06-14","276","1-11",NA,20883,"50"
"16",16,"City of Agoura Hills",26,"2020-06-21","335","14",NA,20883,"64"
"17",17,"City of Agoura Hills",27,"2020-06-28","379","15",NA,20883,"79"
"18",18,"City of Agoura Hills",28,"2020-07-05","429","16",NA,20883,"95"
"19",19,"City of Agoura Hills",29,"2020-07-12","437","20",NA,20883,"115"
"20",20,"City of Agoura Hills",30,"2020-07-19","483","16",NA,20883,"131"
"21",21,"City of Agoura Hills",31,"2020-07-26","610","17",NA,20883,"148"
"22",22,"City of Agoura Hills",32,"2020-08-02","434","12",NA,20883,"160"
"23",23,"City of Agoura Hills",33,"2020-08-09","408","1-11",NA,20883,"165"
"24",24,"City of Agoura Hills",34,"2020-08-16","325","1-11",NA,20883,"172"
"25",25,"City of Agoura Hills",35,"2020-08-23","315","1-11",NA,20883,"180"
"26",26,"City of Agoura Hills",36,"2020-08-30","359","1-11",NA,20883,"190"
"27",27,"City of Agoura Hills",37,"2020-09-06","442","1-11",NA,20883,"192"
"28",28,"City of Agoura Hills",38,"2020-09-13","417","20",NA,20883,"212"
"29",29,"City of Agoura Hills",39,"2020-09-20","515","1-11",NA,20883,"221"
"30",30,"City of Agoura Hills",40,"2020-09-27","383","1-11",NA,20883,"226"
"31",31,"City of Agoura Hills",41,"2020-10-04","627","1-11",NA,20883,"232"
"32",32,"City of Agoura Hills",42,"2020-10-11","594","1-11",NA,20883,"240"
"33",33,"City of Agoura Hills",43,"2020-10-18","635","1-11",NA,20883,"248"
"34",34,"City of Agoura Hills",44,"2020-10-25","523","1-11",NA,20883,"254"
"35",35,"City of Agoura Hills",45,"2020-11-01","580","1-11",NA,20883,"262"
