"","Mean.add.cases","Relative.mean.add.cases..True.1.","Highest.cases.detected...1","Mean.NNT","Relative.mean.NNT..True.1.","Most.efficient...1"
"glm_1a_simplest_tminus2",985,0.887,10,19.3,1.263,12
"glm_1c_simplest_tminus3",918,0.827,15,20,1.31,14
"glm_2a_sim_tminus2",994,0.895,3,19,1.241,5
"glm_3a_comp_tminus2",990,0.892,7,18.1,1.183,2
"glm_1b_simplest_tminus2_4",987,0.889,8,19.1,1.245,7
"glm_2b_sim_tminus2_4",994,0.895,4,19.2,1.256,8
"glm_3b_comp_tminus2_4",966,0.87,12,18.7,1.222,3
"AR2_1a_simplest_tminus2",770,0.693,19,38.8,2.532,19
"AR2_2a_sim_tminus2",795,0.716,17,50.9,3.325,21
"AR2_3a_comp_tminus2",681,0.614,20,33.1,2.162,18
"AR2_1b_simplest_tminus2_4",867,0.781,16,19.4,1.267,13
"AR2_2b_sim_tminus2_4",922,0.83,14,19.3,1.258,10
"AR2_3b_comp_tminus2_4",775,0.698,18,22.2,1.451,16
"me_1a_simplest_tminus2",986,0.888,9,19.3,1.262,11
"me_2a_sim_tminus2",994,0.895,2,19,1.241,4
"me_3a_comp_tminus2",980,0.883,11,20.9,1.364,15
"me_1b_simplest_tminus2_4",993,0.894,5,19,1.244,6
"me_2b_sim_tminus2_4",990,0.892,6,19.2,1.257,9
"me_3b_comp_tminus2_4",963,0.867,13,22.3,1.457,17
"True",1110,1,1,15.3,1,1
"Random",565,0.509,21,43.8,2.864,20
